seq,alpha,last,first,birthday,gender,email,street,state,city,zip,ccnumber,date,latitude,longitude,dollar
1,KrtRq,Hernandez,Elsie,10/27/1991,Male,zo@geb.tj,Kaldo View,FL,Huturor,20870,201476934770701,11/24/1968,31.18237,78.29411,$2857.98
2,IhvoxtFuRlPoqhaczNMa,Hubbard,Michael,2/13/1974,Male,zopucon@hiez.gl,Guboz Parkway,TN,Alaolja,59057,346224193678603,10/04/1999,-27.57942,-23.24754,$1328.70
3,tdVRlbLRiSck,Collier,Georgie,6/15/1954,Male,adfe@feozo.pn,Ugjek Trail,AL,Opfevu,87159,4026870595516509,08/12/1959,-51.69627,44.94177,$4722.32
4,OJyzOjDE,Carr,Mable,3/7/1987,Male,lovahu@wunigo.sx,Nipe Key,CO,Rajpefhu,29924,6377595064246094,12/03/1978,-66.06642,-16.79246,$7081.89
5,OnhpCJ,Torres,Ina,6/25/1998,Male,lelummu@dukum.sl,Kodam Boulevard,NY,Ramvofga,77078,4026438369217314,03/12/1930,-86.22255,-62.02462,$516.44
6,HHBcUACmMBkYrPqQ,Norman,Sylvia,4/8/1968,Female,dajatiek@jir.org,Gizur Street,IA,Lanihuf,53012,36364245478993,08/24/1953,-59.80096,-152.51692,$6712.62
7,mrSLsM,Parsons,Lida,1/8/1983,Female,comiski@zem.mk,Wovbo Lane,CT,Sajeuz,49563,6334823713298825,03/30/2019,46.40249,147.15654,$636.21
8,kjSCDyEkjCbvcqThdT,Malone,Genevieve,9/8/1977,Male,befgum@ukenebnu.lv,Suhraw Place,ND,Owpogi,85889,5473875517960201,10/27/1918,37.1513,-27.33186,$9581.75
9,imETybHqBRcriFYgIrZ,Franklin,Minerva,5/11/1976,Male,buda@te.kp,Ligbul Path,MS,Idehopkiv,57411,6304714319163487,04/30/2035,25.64507,-37.32212,$5207.83
10,ktJyo,Nichols,Adeline,8/25/1975,Female,bulma@vekke.si,Ohhof View,GA,Vudlube,00997,36510304815737,07/13/1933,78.08318,24.85289,$1692.04
